# L5 flavor corrections for IC5 algorithm 
# [gJ] (gluons from diJet mixture) 
# [bJ] (b quark from diJet mixture) 
# [cJ] (c quark from diJet mixture) 
# [qJ] (uds quarks from diJet mixture) 
# [udJ] (ud quark from diJet mixture) 
# [uJ] (u quark from diJet mixture) 
# [dJ] (d quark from diJet mixture) 
# [gT] (gluons from ttbar events) 
# [qT] (uds quarks from ttbar events) 
# [cT] (c quark from ttbar events) 
# [bT] (b quark from ttbar events) 
# energy mapping: ptGen = (pt - p5)/p6 
# parametrization: p2+p3*logPt+p4*logPt^2, constant if Pt<p0 or Pt>p1 
#etamin  etamax  #ofparameters  ptmin  ptmax    p2         p3        p4     mapping: p5        p6 
[aJ]
{1 JetEta 1 JetPt ([0]+[1]*log10(x)+[2]*pow(log10(x),2)+[3]*pow(log10(x),3)+[4]*pow(log10(x),4)) Correction L5Flavor}
      0.783       1.305           7        20.0      3000.0     0.8578181     0.3266826    -0.2518465     0.0816742    -0.0093736 
      1.305       1.653           7        20.0      2000.0     0.7974314     0.4682495    -0.3703722      0.124531    -0.0148866 
      1.653        1.93           7        20.0      1500.0     1.0479841    -0.0382846     0.0039485     0.0052422    -0.0009403 
       1.93       2.322           7        20.0      1000.0     1.0557557    -0.0308581    -0.0148547     0.0156294    -0.0026227 
      2.322         2.5           7        20.0       750.0     1.2765128    -0.4770472     0.3226793      -0.09562     0.0108143 
        2.5       2.853           7        20.0       550.0      0.968119     0.2135677    -0.2458369     0.1113655    -0.0172698 
      2.853       3.139           7        20.0       400.0     1.6424642    -1.3910384     1.1712148    -0.4333521     0.0598476 
      3.139       3.489           7        20.0       300.0      0.544832     1.1587207    -1.0304982     0.4012029    -0.0570614 
      3.489       5.191           7        20.0       200.0     2.9845913    -4.7796145     4.3261732    -1.7237619     0.2557183 
[sJ]
{1 JetEta 1 JetPt ([0]+[1]*log10(x)+[2]*pow(log10(x),2)+[3]*pow(log10(x),3)+[4]*pow(log10(x),4)) Correction L5Flavor}
     -5.191      -3.489           7        20.0       200.0      1.421609    -1.1052858     0.9405428    -0.3333898     0.0427028 
     -3.489      -3.139           7        20.0       300.0     3.8568015    -6.5773844      5.401634    -1.9168487     0.2500626 
     -3.139      -2.853           7        20.0       400.0     2.2821072    -2.9936138     2.3573748    -0.7770673      0.092128 
     -2.853        -2.5           7        20.0       550.0     1.6868575    -1.6193483     1.2858323    -0.4309061     0.0526347 
       -2.5      -2.322           7        20.0       550.0     0.9182068     0.0315913    -0.0169257     0.0199098    -0.0052797 
     -2.322       -1.93           7        20.0      1000.0     1.0869922    -0.3742303     0.3545558    -0.1303006     0.0169449 
      -1.93      -1.653           7        20.0      1500.0     0.8813925     0.0773643    -0.0082768    -0.0041008     0.0008697 
     -1.653      -1.305           7        20.0      2500.0     0.8778216     0.0915826    -0.0139454    -0.0045386     0.0012066 
     -1.305      -0.783           7        20.0      4000.0     0.7659958     0.2857923    -0.1193501     0.0189259    -0.0007227 
     -0.783        -0.0           7        20.0     10000.0     0.7314413     0.3823795    -0.1985494     0.0442822    -0.0035413 
        0.0       0.783           7        20.0     10000.0     0.7314413     0.3823795    -0.1985494     0.0442822    -0.0035413 
      0.783       1.305           7        20.0      4000.0     0.7659958     0.2857923    -0.1193501     0.0189259    -0.0007227 
      1.305       1.653           7        20.0      2500.0     0.8778216     0.0915826    -0.0139454    -0.0045386     0.0012066 
      1.653        1.93           7        20.0      1500.0     0.8813925     0.0773643    -0.0082768    -0.0041008     0.0008697 
       1.93       2.322           7        20.0      1000.0     1.0869922    -0.3742303     0.3545558    -0.1303006     0.0169449 
      2.322         2.5           7        20.0       550.0     0.9182068     0.0315913    -0.0169257     0.0199098    -0.0052797 
        2.5       2.853           7        20.0       550.0     1.6868575    -1.6193483     1.2858323    -0.4309061     0.0526347 
      2.853       3.139           7        20.0       400.0     2.2821072    -2.9936138     2.3573748    -0.7770673      0.092128 
      3.139       3.489           7        20.0       300.0     3.8568015    -6.5773844      5.401634    -1.9168487     0.2500626 
      3.489       5.191           7        20.0       200.0      1.421609    -1.1052858     0.9405428    -0.3333898     0.0427028 
[udJ]
{1 JetEta 1 JetPt ([0]+[1]*log10(x)+[2]*pow(log10(x),2)+[3]*pow(log10(x),3)+[4]*pow(log10(x),4)) Correction L5Flavor}
     -5.191      -3.489           7        20.0       300.0     1.5413201    -1.3459867     1.1353228    -0.4091669     0.0543474 
     -3.489      -3.139           7        20.0       400.0      1.633322    -1.4780223     1.1092975    -0.3456006     0.0390118 
     -3.139      -2.853           7        20.0       550.0     1.1072901    -0.3596163     0.1927772    -0.0153834    -0.0046307 
     -2.853        -2.5           7        20.0       750.0     0.9764044    -0.1660108     0.1222759    -0.0206662     -0.000309 
       -2.5      -2.322           7        20.0      1000.0     1.0864727    -0.3956557     0.3092264    -0.0891573     0.0089542 
     -2.322       -1.93           7        20.0      1500.0      1.216457    -0.5734063     0.4005988    -0.1112499     0.0110982 
      -1.93      -1.653           7        20.0      2000.0     1.1328947    -0.3526399     0.2222033    -0.0537498     0.0045792 
     -1.653      -1.305           7        20.0      2500.0     1.0032116    -0.1072962     0.0576309    -0.0069826    -0.0002424 
     -1.305      -0.783           7        20.0      4000.0     0.8734995     0.1125143    -0.0668682     0.0217723    -0.0025513 
     -0.783        -0.0           7        20.0     10000.0     0.8222173     0.2113094    -0.1220318     0.0334606    -0.0033553 
        0.0       0.783           7        20.0     10000.0     0.8222173     0.2113094    -0.1220318     0.0334606    -0.0033553 
      0.783       1.305           7        20.0      4000.0     0.8734995     0.1125143    -0.0668682     0.0217723    -0.0025513 
      1.305       1.653           7        20.0      2500.0     1.0032116    -0.1072962     0.0576309    -0.0069826    -0.0002424 
      1.653        1.93           7        20.0      2000.0     1.1328947    -0.3526399     0.2222033    -0.0537498     0.0045792 
       1.93       2.322           7        20.0      1500.0      1.216457    -0.5734063     0.4005988    -0.1112499     0.0110982 
      2.322         2.5           7        20.0      1000.0     1.0864727    -0.3956557     0.3092264    -0.0891573     0.0089542 
        2.5       2.853           7        20.0       750.0     0.9764044    -0.1660108     0.1222759    -0.0206662     -0.000309 
      2.853       3.139           7        20.0       550.0     1.1072901    -0.3596163     0.1927772    -0.0153834    -0.0046307 
      3.139       3.489           7        20.0       400.0      1.633322    -1.4780223     1.1092975    -0.3456006     0.0390118 
      3.489       5.191           7        20.0       300.0     1.5413201    -1.3459867     1.1353228    -0.4091669     0.0543474 
[qJ]
{1 JetEta 1 JetPt ([0]+[1]*log10(x)+[2]*pow(log10(x),2)+[3]*pow(log10(x),3)+[4]*pow(log10(x),4)) Correction L5Flavor}
     -5.191      -3.489           7        20.0       300.0     1.5521484    -1.3867836     1.1829137    -0.4315269     0.0580546 
     -3.489      -3.139           7        20.0       400.0     1.6847762     -1.613822     1.2348668     -0.394596     0.0458844 
     -3.139      -2.853           7        20.0       550.0     1.3850901    -0.9873579     0.7205336    -0.2088349     0.0213749 
     -2.853        -2.5           7        20.0       750.0     0.9430049    -0.0603943     0.0349095     0.0073626    -0.0034412 
       -2.5      -2.322           7        20.0      1000.0     0.9920045    -0.1832399     0.1564991     -0.044322     0.0042881 
     -2.322       -1.93           7        20.0      1500.0     1.0614905    -0.2591873     0.1851027    -0.0493639     0.0046978 
      -1.93      -1.653           7        20.0      2000.0     0.9510858    -0.0094959    -0.0018407     0.0083113    -0.0016771 
     -1.653      -1.305           7        20.0      2500.0     0.8949042     0.0870625    -0.0553104     0.0195189    -0.0023844 
     -1.305      -0.783           7        20.0      4000.0     0.7733257     0.2895807    -0.1647493     0.0432045    -0.0041359 
     -0.783        -0.0           7        20.0     10000.0      0.755281     0.3299171     -0.185602     0.0467835    -0.0042895 
        0.0       0.783           7        20.0     10000.0      0.755281     0.3299171     -0.185602     0.0467835    -0.0042895 
      0.783       1.305           7        20.0      4000.0     0.7733257     0.2895807    -0.1647493     0.0432045    -0.0041359 
      1.305       1.653           7        20.0      2500.0     0.8949042     0.0870625    -0.0553104     0.0195189    -0.0023844 
      1.653        1.93           7        20.0      2000.0     0.9510858    -0.0094959    -0.0018407     0.0083113    -0.0016771 
       1.93       2.322           7        20.0      1500.0     1.0614905    -0.2591873     0.1851027    -0.0493639     0.0046978 
      2.322         2.5           7        20.0      1000.0     0.9920045    -0.1832399     0.1564991     -0.044322     0.0042881 
        2.5       2.853           7        20.0       750.0     0.9430049    -0.0603943     0.0349095     0.0073626    -0.0034412 
      2.853       3.139           7        20.0       550.0     1.3850901    -0.9873579     0.7205336    -0.2088349     0.0213749 
      3.139       3.489           7        20.0       400.0     1.6847762     -1.613822     1.2348668     -0.394596     0.0458844 
      3.489       5.191           7        20.0       300.0     1.5521484    -1.3867836     1.1829137    -0.4315269     0.0580546 
